numeroDeclarationActivite,denomination,region,categories_soft,nb_stagiaires,effectif_formateurs,production_estimee
9.3830529483E10,AUTO ECOLE SEYNOISE,Provence-Alpes-Côte d'Azur,Enseignement,47,3,6.20
1.1930848093E10,AUTO  ECOLE  THEO,Île-de-France,Enseignement,116,3,6.48
1.1950849595E10,AUTO ECOLE UNIVERSELLE,Île-de-France,Enseignement,120,3,6.50
1.1922248192E10,AUTO ECOLE VERDUN,Île-de-France,Enseignement,192,3,6.80
3.2590979359E10,AUTO ECOLE VLV (ECF DOUAI),Hauts-de-France,Enseignement,210,3,6.88
4.4570487457E10,AUTO ECOLE XXEME CORPS,Grand Est,Enseignement,78,3,6.33
4.4550057155E10,AUTO ECOLE YO CONDUITE,Grand Est,Enseignement,186,3,6.78
2.7890152689E10,AUTO ECOLE ZOHRA,Bourgogne-Franche-Comté,Enseignement,41,3,6.17
4.4680267868E10,AUTO MOTO BATEAU ECOLE VAUBAN,Grand Est,Enseignement,134,3,6.56
7.630051493E10,AUTO-MOTO ECOLE DJ,Occitanie,Enseignement,260,3,7.08
4.1570270957E10,AUTO MOTO ECOLE MARIO,Grand Est,Enseignement,297,3,7.24
2.7210405321E10,AUTO-MOTO ECOLE TOP DRIVE,Bourgogne-Franche-Comté,Enseignement,44,3,6.18
1.1930757393E10,AUTO MOTO ECOLE TOUS CHEMINS,Île-de-France,Enseignement,236,3,6.98
2.7890172389E10,AUTO MOTO GATINAIS JOIGNY,Bourgogne-Franche-Comté,Enseignement,88,3,6.37
1.1930793493E10,AUTREMENT FORMATIONS,Île-de-France,Comportementales,192,3,6.80
1.1930821093E10,AVENIR PERMIS GARGAN,Île-de-France,Enseignement,143,3,6.60
8.4692086869E10,AXIALYS FORMATION,Auvergne-Rhône-Alpes,RH gestion,26,3,6.11
8.4730244573E10,AXIM'AUTO ECOLE DE CONDUITE,Auvergne-Rhône-Alpes,Enseignement,95,3,6.40
4.4670650167E10,BABY TREES RESEAU,Grand Est,RH gestion,79,3,6.33
2.1510144851E10,BAUSSART CONSULTANTS,Grand Est,"RH gestion, Comportementales",386,3,7.61
8.3030342103E10,BAXA,Auvergne-Rhône-Alpes,Enseignement,25,3,6.10
9.3040092704E10,BBV CONDUITE ORAISON CONDUITE,Provence-Alpes-Côte d'Azur,Enseignement,104,3,6.43
8.4420444542E10,BC3033,Auvergne-Rhône-Alpes,Enseignement,12,3,6.05
8.4692059569E10,BDC,Auvergne-Rhône-Alpes,Enseignement,11,3,6.05
9.3060841506E10,BE COLLABORATIVE,Provence-Alpes-Côte d'Azur,Comportementales,11,3,6.05
7.5240225424E10,BEKA FORMATION,Nouvelle-Aquitaine,RH gestion,19,3,6.08
1.1756464275E10,BELBIN FRANCE,Île-de-France,RH gestion,32,3,6.13
4.4540363754E10,BEMI,Grand Est,Enseignement,35,3,6.15
1.1922345792E10,BERENICE GROUP,Île-de-France,Comportementales,56,3,6.23
2.8760572976E10,BE-UP DEVELOPPEMENT,Normandie,"RH gestion, Comportementales",100,3,6.42
2.7580088658E10,BEVELET-AUTO ECOLE GAURON,Bourgogne-Franche-Comté,Enseignement,26,3,6.11
9.3131977713E10,BE WELL & LEAD WELL,Provence-Alpes-Côte d'Azur,Comportementales,181,3,6.75
3.260034676E10,BEZARD SANDRINE,Hauts-de-France,Enseignement,15,3,6.06
1.1755083275E10,BI'COM,Île-de-France,RH gestion,13,3,6.05
1.1941177694E10,BIRDY,Île-de-France,Enseignement,136,3,6.57
8.4740334474E10,BLAIRE LUCAS,Auvergne-Rhône-Alpes,Enseignement,69,3,6.29
9.3131895913E10,BLANDINE CONDUITE,Provence-Alpes-Côte d'Azur,Enseignement,25,3,6.10
4.973242397E9,BLM FORMATIONS,La Réunion,Enseignement,130,3,6.54
4.4670656967E10,BMB CONDUITE,Grand Est,Enseignement,41,3,6.17
5.2850095085E10,BOISDRON JEANNE IMAGE CONSEIL,Pays de la Loire,"Enseignement, Orientation",160,3,6.67
5.2440947544E10,BON BAGAGE - CONSEIL & FORMATION,Pays de la Loire,RH gestion,108,3,6.45
5.3290962629E10,BONHEUR ET PERFORMANCE,Bretagne,Comportementales,29,3,6.12
7.5190107019E10,BONHOMMO DELPHINE,Nouvelle-Aquitaine,Enseignement,277,3,7.15
9.8970356897E10,BOOSTER - MR DROUIN MARC HENRI,La Réunion,Comportementales,103,3,6.43
1.1921440092E10,BOOST UP,Île-de-France,Comportementales,551,3,8.30
7.5331379333E10,BR FORMATION CONSEIL,Nouvelle-Aquitaine,Enseignement,142,3,6.59
5.3290957329E10,BRH CONSEILS,Bretagne,Orientation,13,3,6.05
9.1340882334E10,BRIDGE DEVELOPPEMENT,Occitanie,Comportementales,1051,3,10.38
4.4680300468E10,BRIGITTE DURR FORMATIONS,Grand Est,Enseignement,184,3,6.77
3.2590924659E10,BRIKX CONSULTING,Hauts-de-France,Comportementales,36,3,6.15
5.2720169772E10,BRIQUE24,Pays de la Loire,"RH gestion, Enseignement",68,3,6.28
5.2440763144E10,CABINET D'AVOCATS RACINE,Pays de la Loire,RH gestion,15,3,6.06
1.1756512675E10,CABINET FTRAINING,Île-de-France,Enseignement,43,3,6.18
9.3840330384E10,CABINET GHISLAINE GAMBA,Provence-Alpes-Côte d'Azur,Orientation,53,3,6.22
5.3350789535E10,CABINET MEUNIER & Associés,Bretagne,RH gestion,153,3,6.64
7.3310778231E10,CADENTES INSTITUT,Occitanie,RH gestion,33,3,6.14
1.1931015793E10,CALI & GALI,Île-de-France,RH gestion,240,3,7.00
2.8760621176E10,CAMILLE CONDUITE,Normandie,Enseignement,24,3,6.10
7.6341276134E10,CAMPELLO CORBIERE AUTO ECOLE,Occitanie,Enseignement,14,3,6.06
9.3060863306E10,CAMPUS RIERA,Provence-Alpes-Côte d'Azur,RH gestion,149,3,6.62
9.3061001506E10,CAP ACADEMIE,Provence-Alpes-Côte d'Azur,RH gestion,908,3,9.78
2.4410155641E10,CAP AUTO MOTO,Centre-Val de Loire,Enseignement,16,3,6.07
7.2330527333E10,CAP GRH,Nouvelle-Aquitaine,"Comportementales, Orientation",200,3,6.83
8.2691104869E10,CAPITALENTS RH,Auvergne-Rhône-Alpes,Comportementales,48,3,6.20
7.5170226517E10,CAP LARGE EVOLUTION,Nouvelle-Aquitaine,Comportementales,5,3,6.02
7.6650104765E10,CAP SOLUTION SAS,Occitanie,Enseignement,13,3,6.05
1.1911016091E10,CAPSULE,Île-de-France,"RH gestion, Comportementales",188,3,6.78
4.973433197E9,CAPTURE COMPETENCE,La Réunion,RH gestion,149,3,6.62
8.4420396342E10,CAROLE NETWORK,Auvergne-Rhône-Alpes,"RH gestion, Comportementales",21,3,6.09
8.2691245569E10,CARPAccess,Auvergne-Rhône-Alpes,"Comportementales, Orientation",216,3,6.90
7.2330407333E10,CATHERINE BLONDEL,Nouvelle-Aquitaine,"RH gestion, Enseignement",59,3,6.25
1.1921896192E10,CATHERINE ELALOUF CABINET TALENTS GAGNANTS,Île-de-France,RH gestion,21,3,6.09
4.4540390954E10,CB CONSULTING,Grand Est,Orientation,93,3,6.39
1.1757046675E10,CCL ETUDES PLUS,Île-de-France,Orientation,28,3,6.12
1.1770790377E10,CDF LA MASSIA NOISIEL,Île-de-France,Enseignement,262,3,7.09
8.2690545669E10,CEDIAL,Auvergne-Rhône-Alpes,"RH gestion, Enseignement",1455,3,12.06
5.2530099953E10,CELFORCOM,Pays de la Loire,Orientation,29,3,6.12
1.1754247475E10,CENTRE D'EDUCATION ROUTIERE SIMON BOLIVAR,Île-de-France,Enseignement,83,3,6.35
9.3131378713E10,CENTRE DE FORMATION ET CONSEIL OC FORMA'UP,Provence-Alpes-Côte d'Azur,RH gestion,428,3,7.78
2.6710236371E10,CENTRE DE FORMATION ROCHE,Bourgogne-Franche-Comté,Enseignement,254,3,7.06
2.7250345325E10,CENTRE DE FORMATION SRAW,Bourgogne-Franche-Comté,Enseignement,120,3,6.50
4.2680201768E10,CENTRE DE FORMATION WALLISER,Grand Est,Enseignement,223,3,6.93
1.1755930675E10,CENTRE D'ENSEIGNEMENT DES MODES AMIABLES,Île-de-France,Enseignement,180,3,6.75
7.5640508764E10,CENTRE D'EXPERTISE ET DE FORMATION POUR L'AMELIORATION DES CONDITIONS DE TRAVAIL,Nouvelle-Aquitaine,RH gestion,204,3,6.85
9.8970371197E10,CENTRE FICHTER SARL,La Réunion,RH gestion,100,3,6.42
9.130026493E10,CENTRE HOSPITALIER LE MAS CAREIRON,Occitanie,RH gestion,19,3,6.08
1.1756874275E10,CENTRE ISP REGION PARISIENNE,Île-de-France,Orientation,81,3,6.34
5.4860026586E10,"CENTRE REGIONAL DE RECHERCHE, FORM. PROM. LANGUE DES SIGNES",Nouvelle-Aquitaine,Enseignement,419,3,7.75
1.1770716177E10,CER Centre Gare,Île-de-France,Enseignement,34,3,6.14
4.1570303257E10,CEREST,Grand Est,Enseignement,199,3,6.83
1.1950624095E10,CER GARE D'HERBLAY,Île-de-France,Enseignement,175,3,6.73
1.1770598177E10,CER L'ALMONT,Île-de-France,Enseignement,32,3,6.13
1.1770631377E10,CER Melun Gare,Île-de-France,Enseignement,6,3,6.03
2.4280170928E10,CER SUARD FORMATION,Centre-Val de Loire,Enseignement,152,3,6.63
8.4380665038E10,Chambre syndicale FNAIM de L'immobilier de l'Isére,Auvergne-Rhône-Alpes,Comportementales,136,3,6.57
9.420209672E10,CHRONO2B SARL,Corse,Enseignement,43,3,6.18
8.2420048242E10,CIDO - CENTRE INTERNATIONAL D'OSTEOPATHIE,Auvergne-Rhône-Alpes,Enseignement,7,3,6.03
1.1788414778E10,CLADE CONSULTING,Île-de-France,"Comportementales, Orientation",76,3,6.32
5.2440820344E10,CLAIRE-MARIE ALLARD CONSULTING,Pays de la Loire,"RH gestion, Comportementales",37,3,6.15
1.1755808975E10,CLAP COM',Île-de-France,Comportementales,96,3,6.40
1.1941121094E10,C-ma conduite,Île-de-France,Enseignement,92,3,6.38
7.6311078731E10,COACH BOOST EURL,Occitanie,"Comportementales, Orientation",30,3,6.12
4.390004639E10,COACHING IMPULSION FORMATION,Bourgogne-Franche-Comté,"RH gestion, Comportementales",206,3,6.86
7.5170204717E10,COACHS ET SENS CONSULTING,Nouvelle-Aquitaine,"Comportementales, Orientation",193,3,6.80
4.4670687067E10,CO&CO BUILDING,Grand Est,Comportementales,77,3,6.32
3.2590951659E10,COENTREPRISE CONSEIL EN STRATEGIE,Hauts-de-France,RH gestion,10,3,6.04
4.2680259068E10,COESIO,Grand Est,"RH gestion, Comportementales",92,3,6.38
9.3131235713E10,CO ET SENS,Provence-Alpes-Côte d'Azur,RH gestion,188,3,6.78
5.2440716644E10,COHERENZA,Pays de la Loire,Comportementales,12,3,6.05
3.260030806E10,COMITYS SAS,Hauts-de-France,Enseignement,393,3,7.64
7.5331534633E10,COMPAGNIE FIDUCIAIRE,Nouvelle-Aquitaine,RH gestion,44,3,6.18
5.2440888144E10,CONDUITE NANTAISE,Pays de la Loire,Enseignement,162,3,6.67
5.3560933156E10,CONDUITE PLUS,Bretagne,Enseignement,70,3,6.29
