numeroDeclarationActivite,denomination,region,effectifFormateurs,stagiaires,production_estimee,macro_theme,multi_cert
2.280012268E10,ARCHITECTES DE L'URGENCE,Hauts-de-France,6,41,12.17,Autre,Non
2.3760537776E10,ARD INFORMATIQUE,Normandie,6,191,12.80,Tech/Digital,Non
3.2620291262E10,ARDRES SECOURISME,Hauts-de-France,6,164,12.68,Soft Skills,Non
4.1570060857E10,AREAL,Grand Est,6,131,12.55,Industrie,Non
2.280010298E10,A.R.E.A.T.,Hauts-de-France,6,180,12.75,Santé,Non
7.4870051887E10,ARENE  ASS. POUR LA RECHERCHE D'EMPLOIS NOE ENTREPRISES,Nouvelle-Aquitaine,6,115,12.48,Soft Skills,Non
4.4680294668E10,ARGOS CONSULTING,Grand Est,6,46,12.19,Soft Skills,Non
1.1754829075E10,ARGUS MEDIA FRANCE,Île-de-France,6,323,13.35,Industrie,Non
4.4570419357E10,ARKADIA FORMATION,Grand Est,6,98,12.41,Juridique,Non
5.2440854844E10,ARMORIK CONDUITE,Pays de la Loire,6,148,12.62,Autre,Non
9.3131070313E10,ARPE DR FRANCOIS POINSO SERVICE PEDOPSYCHIATRIE,Provence-Alpes-Côte d'Azur,6,36,12.15,Santé,Non
1.1930888793E10,ARSENIO,Île-de-France,6,78,12.32,Industrie,Non
1.1756051075E10,ARSIA MONS CONSEIL,Île-de-France,6,212,12.88,Autre,Non
7.6341098534E10,ARSO FORMATION,Occitanie,6,97,12.40,Santé,Non
4.1540251354E10,ARTHEMIS EVOLUTION,Grand Est,6,202,12.84,Industrie,Non
1.1921003592E10,ASCALIE  SPECTACLES,Île-de-France,6,20,12.08,Autre,Non
1.1940953394E10,AS CONDUITE,Île-de-France,6,327,13.36,Autre,Non
7.6341152034E10,ASCOPI,Occitanie,6,354,13.47,Soft Skills,Non
1.1754332675E10,A.S. FORMATION,Île-de-France,6,341,13.42,Autre,Non
1.1941183694E10,ASGR FORMATION,Île-de-France,6,98,12.41,Soft Skills,Non
1.1922200692E10,AS PERMIS NEUILLY,Île-de-France,6,311,13.30,Autre,Non
4.4570428557E10,ASPHERE,Grand Est,6,36,12.15,Tech/Digital,Non
7.6660201066E10,ASS ARIANE FORMATION,Occitanie,6,177,12.74,Autre,Non
7.630052033E10,ASS COMMUNICATION ECHANGES ET EMPLOI,Occitanie,6,91,12.38,Santé,Non
1.1930405793E10,ASS DE FORMATION DES IMPRIMEURS ROTATIVISTES,Île-de-France,6,36,12.15,Autre,Non
8.4630515963E10,ASS DEVELOPP INSTITUT VIANDE - ADIV,Auvergne-Rhône-Alpes,6,1123,16.68,Autre,Non
1.1751467175E10,ASS FORMA DANS INDUSTRIES DE PEINTURES VERNIS ENCRES,Île-de-France,6,66,12.28,Santé,Non
5.2850052985E10,ASS FORMATION COMPTABILITE ET GESTION,Pays de la Loire,6,60,12.25,Commerce/Gestion,Non
2.6210313521E10,ASSISTANCE CONSEIL FORMATION,Bourgogne-Franche-Comté,6,5304,34.10,Sécurité,Non
8.2691207569E10,ASS KINESI CARDIO RESPIR RH-ALPES,Auvergne-Rhône-Alpes,6,38,12.16,Santé,Non
4.1570097057E10,ASS. LE CREUSET FAMILIAL,Grand Est,6,141,12.59,Autre,Non
1.1751777375E10,ASS NAT COORD FORMAT MEDICAL SPECIALISES,Île-de-France,6,67,12.28,Santé,Non
1.1750808475E10,ASS NLE POUR LA FORMATION PRO FESSIONNELLE PHARMACIE ANFPP,Île-de-France,6,77,12.32,Santé,Non
3.1620054162E10,ASSOCIATION  A D R I A N O R,Hauts-de-France,6,360,13.50,Autre,Non
7.3820050282E10,ASSOCIATION AFTRAM,Occitanie,6,134,12.56,Langues,Non
7.5790117779E10,ASSOCIATION APPUI ET VOUS NORD DEUX-SEVRES,Nouvelle-Aquitaine,6,59,12.25,Santé,Non
9.1660105166E10,ASSOCIATION A P T E,Occitanie,6,564,14.35,Sécurité,Non
7.2330206033E10,ASSOCIATION AQUITAINE SPORT POUR TOUS,Nouvelle-Aquitaine,6,25,12.10,Services,Non
7.2330325233E10,Association cantonale de solidarité et d'aide à l'insertion économique,Nouvelle-Aquitaine,6,109,12.45,Soft Skills,Oui
7.5331141633E10,ASSOCIATION COLLEGE NATIONAL D'OCCLUSODONTOLOGIE,Nouvelle-Aquitaine,6,109,12.45,Santé,Non
5.4790014479E10,ASSOCIATION COMMUNIQUER LIRE ECRIRE   CLE,Nouvelle-Aquitaine,6,100,12.42,Autre,Non
2.973554197E9,ASSOCIATION DE COORDINATION  MEDICO-SOCIALE ET SANITAIRE,Martinique,6,30,12.12,Santé,Non
2.4450104145E10,ASSOCIATION DE FORMATION COLLECTIVE A LA GESTION,Centre-Val de Loire,6,367,13.53,Commerce/Gestion,Non
7.5240195024E10,ASSOCIATION DE FORMATION COLLECTIVE A LA GESTION DE DORDOGNE (AFOCG 24),Nouvelle-Aquitaine,6,913,15.80,Commerce/Gestion,Non
2.8140301414E10,Association de la 1ère Ecole de la 2ème Chance de Normandie,Normandie,6,150,12.62,Autre,Non
9.3830793483E10,ASSOCIATION DE PSYCHANALYSE ANTHROPOLOGIQUE,Provence-Alpes-Côte d'Azur,6,13,12.05,Soft Skills,Non
8.2690312369E10,ASSOCIATION DES COLLECTIFS ENFANTS PARENTS PROFESSIONNELS DU RHONE ET DE LA METROPOLE DE LYON,Auvergne-Rhône-Alpes,6,221,12.92,Soft Skills,Oui
8.4420355042E10,ASSOCIATION DES NOUVEAUX ATELIERS DU DORLAY,Auvergne-Rhône-Alpes,6,21,12.09,Autre,Non
5.3290897929E10,ASSOCIATION DES SECOURISTES FRANCAIS CROIX BLANCHE PREMIER SECOURS DU FINISTERE,Bretagne,6,466,13.94,Sécurité,Non
1.1754543975E10,ASSOCIATION DOCTEURS BRU,Île-de-France,6,74,12.31,Santé,Non
9.3830372183E10,ASSOCIATION DU DOMAINE DU RAYOL,Provence-Alpes-Côte d'Azur,6,131,12.55,Autre,Non
9.3132089613E10,ASSOCIATION EVOCAE,Provence-Alpes-Côte d'Azur,6,96,12.40,Autre,Non
8.4692162269E10,ASSOCIATION FOR MANAGEMENT AND VALUATION OF INTANGIBLES (AMAVI),Auvergne-Rhône-Alpes,6,18,12.07,Autre,Non
2.1080038908E10,ASSOCIATION FRANCAISE DES TECHNICIENS EN MEDECINE NUCLEAIRE - AFTMN,Grand Est,6,204,12.85,Santé,Non
7.5870193187E10,ASSOCIATION FRANCE QUALITE PERFORMANCE NOUVELLE-AQUITAINE,Nouvelle-Aquitaine,6,66,12.28,Autre,Non
8.2070065607E10,ASSOCIATION GAM'ART,Auvergne-Rhône-Alpes,6,65,12.27,Autre,Non
1.1750877175E10,ASSOCIATION GEPALM,Île-de-France,6,375,13.56,Autre,Non
4.4510219951E10,ASSOCIATION L AMITIE,Grand Est,6,423,13.76,Santé,Non
1.1755984075E10,ASSOCIATION LEAN CONTRUCTION - ALECO,Île-de-France,6,32,12.13,Commerce/Gestion,Non
9.3131625413E10,ASSOCIATION LES THEATRES DE CUISINE,Provence-Alpes-Côte d'Azur,6,51,12.21,Autre,Non
7.3310505831E10,ASSOCIATION MARIONNETTISSIMO,Occitanie,6,9,12.04,Autre,Non
2.5140283214E10,ASSOCIATION MSA SERVICES COTES NORMANDES,Normandie,6,406,13.69,Santé,Non
1.1755659875E10,Association Nationale de la Recherche et de la Technologie,Île-de-France,6,528,14.20,Juridique,Non
8.4692081369E10,ASSOCIATION NATIONALE DES CADRES DE SANTE (ANCIM),Auvergne-Rhône-Alpes,6,657,14.74,Santé,Non
1.1755316875E10,ASSOCIATION NATIONALE DES CONSEILS FINANCIERS-IMMOBILIER,Île-de-France,6,2476,22.32,Commerce/Gestion,Non
1.1755901075E10,ASSOCIATION NATIONALE DES MEDIATEURS,Île-de-France,6,190,12.79,Soft Skills,Non
